ID,Nombre,Buscar_en_Google,Rubro,Zona,Ciudad
92,CLÍNICA ALEMANA – LA PAZ,"CLÍNICA ALEMANA – LA PAZ, La Paz, Zona Sur, La Paz, Bolivia",Clínica Privada con Cocina,Zona Sur,La Paz
93,CLÍNICA DEL SUR – LA PAZ,"CLÍNICA DEL SUR – LA PAZ, Zona Sur, Calacoto / Obrajes, La Paz, Bolivia",Clínica Privada con Cocina,Calacoto / Obrajes,La Paz
94,CAJA NACIONAL DE SALUD – LA PAZ,"CAJA NACIONAL DE SALUD – LA PAZ, Av. Busch esq. Bolivia, Miraflores, La Paz, Bolivia",Hospital con Cocina Industrial,Miraflores,La Paz
95,HOSPITAL DE CLÍNICAS UMSA,"HOSPITAL DE CLÍNICAS UMSA, Av. Saavedra N° 2236, Miraflores, La Paz, Bolivia",Hospital Universitario con Cocina,Miraflores,La Paz
96,COSSMIL HOSPITAL MILITAR,"COSSMIL HOSPITAL MILITAR, Av. Saavedra, Miraflores, La Paz, Bolivia",Hospital Militar con Cocina,Miraflores,La Paz
97,UMSA – UNIVERSIDAD MAYOR DE SAN ANDRÉS,"UMSA – UNIVERSIDAD MAYOR DE SAN ANDRÉS, Av. Villazón N° 1995, Monoblock / Miraflores, La Paz, Bolivia",Universidad Pública con Comedor,Monoblock / Miraflores,La Paz
98,UCB – UNIVERSIDAD CATÓLICA BOLIVIANA,"UCB – UNIVERSIDAD CATÓLICA BOLIVIANA, Av. 14 de Septiembre N° 4807, Obrajes, La Paz, Bolivia",Universidad Privada con Cafetería,Obrajes,La Paz
99,UPB – UNIVERSIDAD PRIVADA BOLIVIANA,"UPB – UNIVERSIDAD PRIVADA BOLIVIANA, Calle Prolongación Beni s/n, Zona Sur, La Paz, Bolivia",Universidad Privada con Cafetería,Zona Sur,La Paz
100,EMI – ESCUELA MILITAR DE INGENIERÍA,"EMI – ESCUELA MILITAR DE INGENIERÍA, Calacoto, Calacoto, La Paz, Bolivia",Universidad Militar con Comedor,Calacoto,La Paz
101,UNIFRANZ – UNIVERSIDAD PRIVADA,"UNIFRANZ – UNIVERSIDAD PRIVADA, Av. Arce N° 2631, Sopocachi, La Paz, Bolivia",Universidad con Cafetería,Sopocachi,La Paz
102,UPEA – UNIVERSIDAD EL ALTO,"UPEA – UNIVERSIDAD EL ALTO, Ciudad Satélite, Ciudad Satélite, El Alto, Bolivia",Universidad Pública con Comedor,Ciudad Satélite,El Alto
103,UAB – UNIV. ADVENTISTA DE BOLIVIA,"UAB – UNIV. ADVENTISTA DE BOLIVIA, La Paz, La Paz, Bolivia",Universidad Privada con Comedor,La Paz,La Paz
104,UNIVALLE – UNIVERSIDAD DEL VALLE,"UNIVALLE – UNIVERSIDAD DEL VALLE, La Paz, La Paz, Bolivia",Universidad Privada con Cafetería,La Paz,La Paz
105,COLEGIO ALEMÁN – LA PAZ,"COLEGIO ALEMÁN – LA PAZ, Calle 10 N° 7890, Calacoto, La Paz, Bolivia",Colegio Privado Internacional,Calacoto,La Paz
106,COLEGIO AMERICANO – LA PAZ,"COLEGIO AMERICANO – LA PAZ, La Paz, San Miguel, La Paz, Bolivia",Colegio Internacional,San Miguel,La Paz
107,COLEGIO FRANCO-BOLIVIANO,"COLEGIO FRANCO-BOLIVIANO, La Paz, Calacoto, La Paz, Bolivia",Colegio Bilingüe con Cafetería,Calacoto,La Paz
108,COLEGIO SAN CALIXTO – LA PAZ,"COLEGIO SAN CALIXTO – LA PAZ, Av. Landaeta N° 490, Centro, La Paz, Bolivia",Colegio Privado Tradicional,Centro,La Paz
109,COLEGIO LA SALLE – LA PAZ,"COLEGIO LA SALLE – LA PAZ, Av. Busch N° 1200, Miraflores, La Paz, Bolivia",Colegio Privado con Cafetería,Miraflores,La Paz
110,COLEGIO DOMINGO SABIO – LA PAZ,"COLEGIO DOMINGO SABIO – LA PAZ, La Paz, Norte, La Paz, Bolivia",Colegio Privado con Cafetería,Norte,La Paz
111,COLEGIO LOYOLA – LA PAZ,"COLEGIO LOYOLA – LA PAZ, La Paz, Sur, La Paz, Bolivia",Colegio Jesuita con Cafetería,Sur,La Paz
112,COLEGIO SANTA ANA – LA PAZ,"COLEGIO SANTA ANA – LA PAZ, La Paz, Miraflores, La Paz, Bolivia",Colegio Privado con Cafetería,Miraflores,La Paz
113,COLEGIO MONTESSORI – LA PAZ,"COLEGIO MONTESSORI – LA PAZ, La Paz, Zona Sur, La Paz, Bolivia",Colegio con Cafetería,Zona Sur,La Paz
114,UNIDAD EDUCATIVA BOLIVIANO-JAPONESA,"UNIDAD EDUCATIVA BOLIVIANO-JAPONESA, El Alto, Ciudad Satélite, El Alto, Bolivia",Colegio Bilingüe con Cafetería,Ciudad Satélite,El Alto
115,COLEGIO INGLÉS COBOS – EL ALTO,"COLEGIO INGLÉS COBOS – EL ALTO, El Alto, Ciudad Satélite, El Alto, Bolivia",Colegio Bilingüe El Alto,Ciudad Satélite,El Alto
116,COLEGIO INTERNACIONAL DE LA PAZ,"COLEGIO INTERNACIONAL DE LA PAZ, La Paz, Calacoto, La Paz, Bolivia",Colegio Internacional con Comedor,Calacoto,La Paz
117,ADEREZO BOLIVIANO,"ADEREZO BOLIVIANO, c. Lucas Jaimes N° 2022, Miraflores, La Paz, Bolivia",Mayorista de Especias y Condimentos,Miraflores,La Paz
